purchaseOrderId,productId,productName,vendorId,vendorName,contractId,quantity,unitCost,totalCost,expectedDeliveryDate,status,createdDate,receivedDate
1,3,Leather Bag,1,TestVendor Inc,1,25,85.00,2125.00,2025-12-18,Pending,2025-12-10,
2,5,Denim Jacket,9,DenimForge,1,30,55.00,1650.00,2025-12-20,Pending,2025-12-11,
3,6,Winter Coat,1,TestVendor Inc,4,20,75.00,1500.00,2025-12-15,In Transit,2025-12-05,
4,7,Dress,1,TestVendor Inc,6,25,35.00,875.00,2025-12-16,In Transit,2025-12-06,
5,8,Luxury Watch,1,TestVendor Inc,8,15,180.00,2700.00,2025-12-22,Pending,2025-12-11,
7,1,Designer Shirt,1,TestVendor Inc,10,50,28.00,1400.00,2025-12-08,Completed,2025-11-25,2025-12-08
8,2,Fashion Pants,9,DenimForge,1,45,58.00,2610.00,2025-12-10,Completed,2025-11-28,2025-12-10
9,4,Silk Scarf,1,TestVendor Inc,13,60,18.00,1080.00,2025-12-14,In Transit,2025-12-07,
10,10,Formal Tie,5,NorthWool Industries,1,50,15.00,750.00,2025-12-13,Received,2025-12-03,2025-12-13
11,3,Leather Bag,1,TestVendor Inc,15,30,85.00,2550.00,2025-12-25,Pending,2025-12-11,
12,6,Winter Coat,5,NorthWool Industries,1,25,75.00,1875.00,2025-12-19,Pending,2025-12-10,
13,8,Luxury Watch,1,TestVendor Inc,1,10,180.00,1800.00,2025-12-28,Pending,2025-12-11,
14,5,Denim Jacket,9,DenimForge,1,35,55.00,1925.00,2025-12-17,In Transit,2025-12-08,
15,7,Dress,1,TestVendor Inc,4,20,35.00,700.00,2025-12-21,Pending,2025-12-11,
16,1,Designer Shirt,5,NorthWool Industries,1,40,28.00,1120.00,2025-12-09,Completed,2025-11-26,2025-12-09
17,2,Fashion Pants,1,TestVendor Inc,6,35,58.00,2030.00,2025-12-11,Completed,2025-11-29,2025-12-11
18,9,Wool Sweater,5,NorthWool Industries,1,30,30.00,900.00,2025-12-23,Pending,2025-12-11,
19,4,Silk Scarf,5,NorthWool Industries,1,45,18.00,810.00,2025-12-16,In Transit,2025-12-09,
20,10,Formal Tie,1,TestVendor Inc,8,55,15.00,825.00,2025-12-14,Received,2025-12-04,2025-12-14
21,3,Leather Bag,1,TestVendor Inc,1,22,85.00,1870.00,2025-12-18,Pending Delivery,2025-12-11,
6,9,Wool Sweater,5,NorthWool Industries,1,40,30.00,1200.00,2025-12-12,Completed,2025-12-01,2025-12-12
